Make,Model,Manufacturer Name,Weight Class,Make Type,Size Category,Range,Passengers,Crew,Weight Ramp,Weight Takeoff,Weight Zero,Weight Basic Operating,Weight Landing,Speed Cruise,Landing Length,Range Tanks Full
AIRBUS,ACJ TWOTWENTY,Airbus SAS,Heavy,Business Jet,Airline Business Jet,5686,19,4,141000,140500,108000,87675,112500,432,2300,5684
AIRBUS,ACJ318,Airbus SAS,Heavy,Business Jet,Airline Business Jet,4250,19,4,150800,149900,120150,96694,126765,444,4050,4000
AIRBUS,ACJ319,Airbus SAS,Heavy,Business Jet,Airline Business Jet,6000,19,4,169530,168650,128970,96450,137790,447,2220,6134
AIRBUS,ACJ319neo,Airbus SAS,Heavy,Business Jet,Airline Business Jet,6750,19,4,173283,172401,116845,104000,140875,447,2220,6750
AIRBUS,ACJ320,Airbus SAS,Heavy,Business Jet,Airline Business Jet,4300,19,4,175045,174165,141757,110000,148592,451,2400,6000
AIRBUS,ACJ320neo,Airbus SAS,Heavy,Business Jet,Airline Business Jet,6000,19,4,175045,174165,141757,110000,148592,447,2565,6000
AIRBUS,ACJ330,Airbus SAS,Heavy,Business Jet,Airline Business Jet,8500,25,4,509000,507000,370400,265457,396800,432,5680,0
AIRBUS,ACJ330neo,Airbus SAS,Heavy,,Airline Business Jet,9400,25,4,531100,529100,374800,0,401200,0,5680,0
ASTRA,1125,"Israel Aircraft Industries, Ltd.",Medium,Business Jet,Mid-Size Jet,2780,8,2,23650,23500,16000,13058,20700,448,2720,3110
ASTRA,1125SP,"Israel Aircraft Industries, Ltd.",Medium,Business Jet,Mid-Size Jet,2780,6,2,23650,23500,16000,13225,20700,448,2720,0
ASTRA,1125SPX,"Israel Aircraft Industries, Ltd.",Medium,Business Jet,Mid-Size Jet,2780,7,2,24800,24650,17000,14635,20700,448,2520,0
BEECHJET,400,Beech/Raytheon,Light,Business Jet,Light Jet,1510,7,2,15850,15780,12470,11013,14220,378,2930,0
BEECHJET,400A,Beech/Raytheon,Light,Business Jet,Light Jet,1180,7,2,16300,16100,13000,10915,15700,449,2960,0
BOEING,BBJ,The Boeing Company,Heavy,Business Jet,Airline Business Jet,6297,19,4,171500,171000,126000,103345,134000,452,3837,6285
BOEING,BBJ MAX 7,The Boeing Company,Heavy,Business Jet,Airline Business Jet,6810,19,4,177500,177000,138700,101550,145600,456,2360,6525
BOEING,BBJ MAX 8,The Boeing Company,Heavy,Business Jet,Airline Business Jet,6680,19,4,181700,181200,145400,105200,152800,456,2335,6465
BOEING,BBJ2,The Boeing Company,Heavy,Business Jet,Airline Business Jet,5648,19,4,174700,174200,138300,101172,146300,454,2370,5726
BOEING,BBJ3,The Boeing Company,Heavy,Business Jet,Airline Business Jet,5496,19,4,188200,187700,149300,112426,157300,452,7000,0
BOEING,BBJ747-8,The Boeing Company,Heavy,Business Jet,Airline Business Jet,8875,14,4,990000,987000,651000,486076,688000,495,6920,0
BOEING,BBJ787-8,The Boeing Company,Heavy,Business Jet,Airline Business Jet,9955,40,4,503500,502500,355000,260664,380000,490,8000,0
BOEING,BBJ787-9,The Boeing Company,Heavy,Business Jet,Airline Business Jet,9500,40,4,559000,557000,400000,349700,425000,490,8000,0
CHALLENGER,300,Bombardier Inc.,Heavy,Business Jet,Super Mid-Size Jet,3340,8,2,39000,38850,27000,23500,33750,459,2290,0
CHALLENGER,350,Bombardier Inc.,Heavy,Business Jet,Super Mid-Size Jet,3269,8,2,40750,40600,28200,24800,34150,459,2303,3169
CHALLENGER,3500,Bombardier,Heavy,Business Jet,Super Mid-Size Jet,3400,11,3,40750,40600,28200,24800,34150,442,2303,3297
CHALLENGER,600,"Canadair, Ltd.",Heavy,Business Jet,Large Jet,2909,11,2,41400,41250,28500,24150,36000,442,3050,0
CHALLENGER,601-1A,"Canadair, Ltd.",Heavy,Business Jet,Large Jet,3450,11,2,43250,43100,29500,25900,36000,442,3550,0
CHALLENGER,601-3A,"Canadair, Ltd.",Heavy,Business Jet,Large Jet,3000,11,2,43250,43100,31000,26000,36000,476,3300,0
CHALLENGER,601-3R,"Canadair, Ltd.",Heavy,Business Jet,Large Jet,3580,11,2,45250,45100,31000,26250,36000,476,3300,0
CHALLENGER,604,Bombardier Inc.,Heavy,Business Jet,Large Jet,4119,10,2,48300,48200,32000,27185,38000,459,2777,0
