Company - Customer Target Areas if regional,Website,Sales Contact,City,State/Country
LunaJets SA (LJ),www.lunajets.com,"lunajets@lunajets.com

esegard@lunajets.com",Geneva Switzerland,
Fly Aeolus (FA),www.flyaeolus.com,info@flyaeolus.com,Antwerp,Belgium
Silver Air Private Jets (SA),www.SilverAir.com,FlightClub@SilverAir.com,Santa Barbara,California
Quantum Jets (QJ),QUANTUMJETS.COM,charter@quantumjets.com,Long Beach,California
Amalfi Jets LLC (AM),www.amalfijets.com,charter@amalfijets.com,Los Angeles,California
Solairus Aviation (SO) - Not accepting new customers,www.solairus.aero,charter@solairus.aero,Petaluma,California
"Clay Lacy Aviation (CL) - For customers based in Los Angeles, Seattle, and Northeastern U.S.",www.claylacy.com,rking@claylacy.com,Van Nuys,California
Silver Air Private Jets (SA) - On hold for members,www.SilverAir.com,FlightClub@SilverAir.com,Santa Barbara,California
Dreamline Aviation (DA) - Los Angeles and San Francisco Bay area airports,www.dreamlineaviation.com,charter@dljets.com,Van Nuys,California
Jettly Inc. (JL),https://jettly.com/jet_card_program,departures@jettly.com,Toronto,Canada
StraightLine Private Air (SPA),www.flystraightline.com,Evan Kluding - VP of Sales (evan@flystraightline.com),Denver,Colorado
International Jet Aviation Services (IJ) - Denver Area,www.internationaljet.com,adam@internationaljet.com,Centennial,Colorado
ONEflight International (BAJ),www.oneflight.net,info@oneflight.net,Englewood,Colorado
Tradewind Aviation (TA) - 300 nautical miles from Westchester County Airport (HPN) and 300 nautical miles from San Juan (SJU),www.flytradewind.com,charter@flytradewind.com,Oxford,Connecticut
Dumont Group (DG),www.DumontGroup.com,sales@dumontaviation.com,Wilmington,DE (ILG)
"Dumont Group (DG) - Suspended light, mid, and super mid - only selling Falcon 2000 and Heavy jet cards",www.DumontGroup.com,sales@dumontaviation.com,Wilmington,DE (ILG)
Jetlogic Ltd (JLL) - program suspended,www.jet-logic.com,jlcharter@jet-logic.com,Edinburgh,"EH3 6QH, Scotland"
Air Charter Service - Europe (ACSE) - Fixed rates suspended,http://www.aircharterservice.com/,Timothy Rees +442083391002 tim.rees@aircharter.co.uk,Surbiton,England
Air Charter Service - Europe (ACSE),http://www.aircharterservice.com/,Timothy Rees +442083391002 tim.rees@aircharter.co.uk,Surbiton,England
Air Charter Service (ACS),http://www.aircharterservice.com/,robert.alper@aircharterservice.com,Surbiton,England
365 Aviation (365),https://www.365aviation.com/, charter@365aviation.com,London,England
PrivateFly (PF),www.privatefly.com,jetcard@privatefly.com,St. Albans,England
Prive Jets (PJ),www.privejets.com,info@privejets.com,Hallandale,Florida
Stratos Jet Charters (ST),https://www.stratosjets.com/,1.888.478.7286,Orlando,Florida
ExpertJet Charter (EC) - Not accepting new customers,www.flyexpertjet.com,Charter@flyexpertjet.com,Ft. Lauderdale,Florida
"Elite Jets Charters, LLC (EJ) - targeting Naples, Florida area - Not accepting new customers",elitejets.com,Karen Gray (kareng@elitejets.com) and Gustavo Botura (gustavob@elitejets.com); 239-900-9000,Naples,Florida
Alliance Aviation (AA),www.FlyAlliance.us,Chris.Tasca@FlyAlliance.us,Orlando,Florida
ExpertJet Charter (EC),www.flyexpertjet.com,Charter@flyexpertjet.com,Ft. Lauderdale,Florida
XO Europe/Middle East (XOE),flyxo.com,LList@FlyXO.com.,Ft. Lauderdale,Florida
Vault Aviation (VA) - Accepting new members on a case-by-case basis,www.vaultjet.com,paul@vaultjet.com,Miami,Florida
Unity Jets (UJ),www.unityjets.com,kevin@unityjets.com,Miami,Florida
XO (XO),flyxo.com,LList@FlyXO.com.,Ft. Lauderdale,Florida
"Airstream Jets, Inc. (AJ)",http://airstreamjets.com/,charter@airstreamjets.com,Boca Raton,Florida
Charter Flight Group (CFG),https://charterflightgroup.com/,membership@flycfg.com,Boca Raton,Florida
Rennia Aviation (RA) - Program on hold,https://www.renniaaviation.com/,https://www.renniaaviation.com/contact-us,Gainesville,Florida
Velocity Jets (VJ),www.velocityjets.com,info@velocityjets.com,Ft. Lauderdale,Florida
VistaJet - Europe (VIE),www.vistajet.com,"Leona Qi
President, VistaJet US / Asia

Email: leona.qi@vistajet.com",Miami,Florida
VeriJet (VER),verijet.com,Jason.bercan@verijet.com,Miami,Florida
Premier Private Jets (PPJ),https://premierprivatejets.com/,Brandon Cardona (908) 655-1881 or sales@premierprivatejets.com,Stuart,Florida
Able American Jets (AB),www.ableamericanjets.com,info@ableamericanjets.com,Vero Beach,Florida
Volato (VO),flyvolato.com,sales@flyvolato.com,Atlanta,Georgia
"Priester Aviation (PA) - Atlanta, Chicago, Cincinnati, Dallas, Denver, Los Angeles, Minneapolis, New York, St. Louis, South Florida",www.priesterav.com,tedp@priesterav.com,Wheeling,Illinois
