Company,Headquarters,Website,Sales Contact,Jet Card Name - Description,Hourly Rate,Peak Hourly Rate
365 Aviation (365),"London, England",https://www.365aviation.com/, charter@365aviation.com,"365 - Bespoke Jet Card - CJ2 - 168 hours call-out, 72 hours cancel","4,400","4,620"
365 Aviation (365),"London, England",https://www.365aviation.com/, charter@365aviation.com,"365 - Bespoke Jet Card - CJ2 -  168 hours call-out, Preferred Cancelation","4,900","5,145"
365 Aviation (365),"London, England",https://www.365aviation.com/, charter@365aviation.com,"365 - Bespoke Jet Card - CJ2 - 72 hours call-out, Preferred Cancelation","5,400","5,670"
365 Aviation (365),"London, England",https://www.365aviation.com/, charter@365aviation.com,"365 - Bespoke Jet Card - Citation XLS - 168 hours call-out, Preferred Cancelation","7,100","7,455"
365 Aviation (365),"London, England",https://www.365aviation.com/, charter@365aviation.com,"365 - Bespoke Jet Card - Citation XLS - 72 hours call-out, Preferred Cancelation","7,600","7,980"
365 Aviation (365),"London, England",https://www.365aviation.com/, charter@365aviation.com,"365 - Bespoke Jet Card - CJ2 - 72 hours call-out, 72 hours cancel","4,900","5,145"
365 Aviation (365),"London, England",https://www.365aviation.com/, charter@365aviation.com,"365 - Bespoke Jet Card - Citation XLS - 168 hours call-out, 72 hours cancel","6,600","6,930"
365 Aviation (365),"London, England",https://www.365aviation.com/, charter@365aviation.com,"365 - Bespoke Jet Card - Citation XLS - 72 hours call-out, 72 hours cancel","7,100","7,455"
Able American Jets (AB),"Vero Beach, FL",www.ableamericanjets.com,info@ableamericanjets.com,AB - Global Flex Jet Card Membership - Individual/Family,Dynamic Pricing,
Able American Jets (AB),"Vero Beach, FL",www.ableamericanjets.com,info@ableamericanjets.com,AB - Global Flex Jet Card Membership - Corporate,Dynamic Pricing,
Able American Jets (AB),"Vero Beach, FL",www.ableamericanjets.com,info@ableamericanjets.com,AB - 5 Hour Jet Card Membership - Starter Package,Dynamic Pricing,
Able American Jets (AB),"Vero Beach, FL",www.ableamericanjets.com,info@ableamericanjets.com,AB - 15 Hour Jet Card Membership - Silver Package,Dynamic Pricing,
Able American Jets (AB),"Vero Beach, FL",www.ableamericanjets.com,info@ableamericanjets.com,AB - 25 Hour Jet Card Membership - Gold Package,Dynamic Pricing,
Able American Jets (AB),"Vero Beach, FL",www.ableamericanjets.com,info@ableamericanjets.com,AB - 50 Hour Jet Card Membership - Platinum Package,Dynamic Pricing,
AeroVanti (AV),"Annapolis, MD",https://www.aerovanti.com/,https://www.aerovanti.com/membership/,"AV - AeroVanti Air Club - Corporate - Four of corporate Member’s
principals","2,495","2,816"
AeroVanti (AV),"Annapolis, MD",https://www.aerovanti.com/,https://www.aerovanti.com/membership/,"AV - AeroVanti Air Club - Family - Member and Member’s
spouse, parents, and children","2,495","2,816"
AeroVanti (AV),"Annapolis, MD",https://www.aerovanti.com/,https://www.aerovanti.com/membership/,"AV - AeroVanti Air Club - Individual - Member and Member’s
spouse","2,495","2,816"
AeroVanti (AV),"Annapolis, MD",https://www.aerovanti.com/,https://www.aerovanti.com/membership/,"AV - AeroVanti Air Club - Corporate - Four of corporate Member’s
principals - WEST OF THE MISSISSIPPI","2,995","3,381"
AeroVanti (AV),"Annapolis, MD",https://www.aerovanti.com/,https://www.aerovanti.com/membership/,"AV - AeroVanti Air Club - Family - Member and Member’s
spouse, parents, and children - WEST OF THE MISSISSIPPI","2,995","3,381"
AeroVanti (AV),"Annapolis, MD",https://www.aerovanti.com/,https://www.aerovanti.com/membership/,"AV - AeroVanti Air Club - Individual - Member and Member’s
spouse - WEST OF THE MISSISSIPPI","2,995","3,381"
AeroVanti (AV),"Annapolis, MD",https://www.aerovanti.com/,https://www.aerovanti.com/membership/,AV - AeroVanti Air Club - Top Gun ,"2,495","2,816"
Air Charter Service - Europe (ACSE),"Surbiton, England",http://www.aircharterservice.com/,Timothy Rees +442083391002 tim.rees@aircharter.co.uk,ACSE - Market Account- 25,Dynamic Pricing,
Air Charter Service - Europe (ACSE) - Fixed rates suspended,"Surbiton, England",http://www.aircharterservice.com/,Timothy Rees +442083391002 tim.rees@aircharter.co.uk,ACSE - Empyrean Capped Rate Account - 25 - Light,"5,560","5,560"
Air Charter Service - Europe (ACSE) - Fixed rates suspended,"Surbiton, England",http://www.aircharterservice.com/,Timothy Rees +442083391002 tim.rees@aircharter.co.uk,ACSE - Empyrean Capped Rate Account - 25 - Midsize,"7,460","7,460"
Air Charter Service - Europe (ACSE) - Fixed rates suspended,"Surbiton, England",http://www.aircharterservice.com/,Timothy Rees +442083391002 tim.rees@aircharter.co.uk,ACSE - Empyrean Capped Rate Account - 25 - Super Midsize,"9,980","9,980"
Air Charter Service - Europe (ACSE) - Fixed rates suspended,"Surbiton, England",http://www.aircharterservice.com/,Timothy Rees +442083391002 tim.rees@aircharter.co.uk,ACSE - Empyrean Capped Rate Account - 25 - Large,"11,960","11,960"
